Ticker,Name
UNH,UnitedHealth Group Incorporated
HD,Home Depot Inc.
CRM,salesforce.com inc.
AMGN,Amgen Inc.
MCD,McDonald's Corporation
MSFT,Microsoft Corporation
GS,Goldman Sachs Group Inc.
V,Visa Inc. Class A
HON,Honeywell International Inc.
MMM,3M Company
CAT,Caterpillar Inc.
BA,Boeing Company
WMT,Walmart Inc.
PG,Procter & Gamble Company
JNJ,Johnson & Johnson
NKE,NIKE Inc. Class B
TRV,Travelers Companies Inc.
DIS,Walt Disney Company
AAPL,Apple Inc.
IBM,International Business Machines Corporation
JPM,JPMorgan Chase & Co.
AXP,American Express Company
MRK,Merck & Co. Inc.
CVX,Chevron Corporation
VZ,Verizon Communications Inc.
KO,Coca-Cola Company
DOW,Dow Inc.
INTC,Intel Corporation
CSCO,Cisco Systems Inc.
WBA,Walgreens Boots Alliance Inc
